,1st_flr_sf,2nd_flr_sf,3ssn_porch,alley,bedroom_abvgr,bldg_type,bsmt_cond,bsmt_exposure,bsmt_full_bath,bsmt_half_bath,bsmt_qual,bsmt_unf_sf,bsmtfin_sf_1,bsmtfin_sf_2,bsmtfin_type_1,bsmtfin_type_2,central_air,condition_1,condition_2,electrical,enclosed_porch,exter_cond,exter_qual,exterior_1st,exterior_2nd,fence,fireplace_qu,fireplaces,foundation,full_bath,functional,garage_area,garage_cars,garage_cond,garage_finish,garage_qual,garage_type,garage_yr_blt,gr_liv_area,half_bath,heating,heating_qc,house_style,id,kitchen_abvgr,kitchen_qual,land_contour,land_slope,lot_area,lot_config,lot_frontage,lot_shape,low_qual_fin_sf,ms_subclass,ms_zoning,mas_vnr_area,mas_vnr_type,misc_feature,misc_val,mo_sold,neighborhood,open_porch_sf,overall_cond,overall_qual,pid,paved_drive,pool_area,pool_qc,roof_matl,roof_style,sale_type,saleprice,screen_porch,street,totrms_abvgrd,total_bsmt_sf,utilities,wood_deck_sf,year_built,year_remod/add,yr_sold,neighborhood_rank
0,725,754,0,None,3,1Fam,3,No,0.0,0.0,3,192.0,533.0,0.0,GLQ,Unf,Y,1,2,SBrkr,0,3,4,HdBoard,Plywood,None,0,0,CBlock,2,7,475.0,2.0,3,RFn,3,Attchd,1976.0,1479,1,GasA,5,2Story,109,1,4,Lvl,Gtl,13517,CulDSac,68.0,IR1,0,60,RL,289.0,BrkFace,None,0,3,Sawyer,44,8,6,533352170,Y,0,1,CompShg,Gable,WD ,130500,0,Pave,6,725.0,AllPub,0,1976,2005,2010,9
1,913,1209,0,None,4,1Fam,3,No,1.0,0.0,4,276.0,637.0,0.0,GLQ,Unf,Y,2,2,SBrkr,0,3,4,VinylSd,VinylSd,None,3,1,PConc,2,7,559.0,2.0,3,RFn,3,Attchd,1997.0,2122,1,GasA,5,2Story,544,1,4,Lvl,Gtl,11492,CulDSac,43.0,IR1,0,60,RL,132.0,BrkFace,None,0,4,SawyerW,74,5,7,531379050,Y,0,1,CompShg,Gable,WD ,220000,0,Pave,8,913.0,AllPub,0,1996,1997,2009,14
2,1057,0,0,None,3,1Fam,3,No,1.0,0.0,3,326.0,731.0,0.0,GLQ,Unf,Y,2,2,SBrkr,0,4,3,VinylSd,VinylSd,None,0,0,CBlock,1,7,246.0,1.0,3,Unf,3,Detchd,1953.0,1057,0,GasA,3,1Story,153,1,4,Lvl,Gtl,7922,Inside,68.0,Reg,0,20,RL,0.0,None,None,0,1,NAmes,52,7,5,535304180,Y,0,1,CompShg,Gable,WD ,109000,0,Pave,5,1057.0,AllPub,0,1953,2007,2010,12
3,744,700,0,None,3,1Fam,3,No,0.0,0.0,4,384.0,0.0,0.0,Unf,Unf,Y,2,2,SBrkr,0,3,3,VinylSd,VinylSd,None,0,0,PConc,2,7,400.0,2.0,3,Fin,3,BuiltIn,2007.0,1444,1,GasA,4,2Story,318,1,3,Lvl,Gtl,9802,Inside,73.0,Reg,0,60,RL,0.0,None,None,0,4,Timber,0,5,5,916386060,Y,0,1,CompShg,Gable,WD ,174000,0,Pave,7,384.0,AllPub,100,2006,2007,2010,23
4,831,614,0,None,3,1Fam,4,No,0.0,0.0,2,676.0,0.0,0.0,Unf,Unf,Y,2,2,SBrkr,0,3,3,Wd Sdng,Plywood,None,0,0,PConc,2,7,484.0,2.0,3,Unf,3,Detchd,1957.0,1445,0,GasA,3,1.5Fin,255,1,3,Lvl,Gtl,14235,Inside,82.0,IR1,0,50,RL,0.0,None,None,0,3,SawyerW,59,8,6,906425045,N,0,1,CompShg,Gable,WD ,138500,0,Pave,6,676.0,AllPub,0,1900,1993,2010,14
5,1888,0,0,None,2,1Fam,3,No,0.0,0.0,3,557.0,247.0,713.0,ALQ,Rec,Y,3,2,SBrkr,0,3,4,BrkFace,Plywood,None,4,1,CBlock,2,4,578.0,2.0,3,Fin,3,Attchd,1966.0,1888,1,GasA,5,1Story,138,1,4,Lvl,Gtl,16492,Corner,137.0,IR1,0,20,RL,0.0,None,None,0,6,NAmes,0,6,6,535126040,Y,0,1,CompShg,Gable,WD ,190000,0,Pave,6,1517.0,AllPub,0,1966,2002,2010,12
6,1072,0,0,None,2,TwnhsE,3,Gd,1.0,0.0,4,0.0,547.0,0.0,GLQ,Unf,Y,2,2,SBrkr,0,3,3,VinylSd,VinylSd,None,0,0,PConc,2,7,525.0,2.0,3,Fin,3,Basment,2005.0,1072,0,GasA,4,SFoyer,2827,1,3,Lvl,Gtl,3675,Inside,35.0,Reg,0,180,RM,82.0,BrkFace,None,0,6,Edwards,44,5,6,908186070,Y,0,1,CompShg,Gable,New,140000,0,Pave,5,547.0,AllPub,0,2005,2006,2006,6
7,1188,0,0,None,3,1Fam,3,No,1.0,0.0,3,188.0,1000.0,0.0,Rec,Unf,Y,2,2,SBrkr,0,3,3,Plywood,Plywood,MnPrv,0,0,CBlock,1,7,531.0,2.0,3,RFn,3,Attchd,1959.0,1188,0,GasA,2,1Story,145,1,3,Lvl,Gtl,12160,Inside,68.0,IR1,0,20,RL,180.0,BrkFace,None,0,5,NAmes,0,5,5,535154050,Y,0,1,CompShg,Hip,COD,142000,0,Pave,6,1188.0,AllPub,0,1959,1959,2010,12
8,924,0,0,None,2,1Fam,3,No,0.0,0.0,3,632.0,292.0,0.0,Rec,Unf,Y,1,2,SBrkr,0,3,3,Wd Sdng,Wd Sdng,MnPrv,0,0,CBlock,1,7,420.0,1.0,3,Unf,3,Detchd,1952.0,924,0,GasA,3,1Story,1942,1,3,Lvl,Gtl,15783,Inside,68.0,Reg,0,20,RL,0.0,None,Shed,400,6,OldTown,324,5,5,535353130,Y,0,1,CompShg,Gable,WD ,112500,0,Pave,6,924.0,AllPub,0,1952,1952,2007,4
9,1040,1040,0,None,5,1Fam,3,Av,0.0,1.0,4,390.0,650.0,0.0,Rec,Unf,Y,2,2,SBrkr,0,3,3,Plywood,Plywood,None,3,2,PConc,1,7,504.0,2.0,3,Unf,3,Attchd,1969.0,2080,2,GasA,3,2Story,1956,1,2,HLS,Sev,11606,Inside,70.0,IR1,0,60,RL,192.0,BrkFace,None,0,9,NAmes,0,5,5,535426130,Y,0,1,CompShg,Gable,WD ,135000,0,Pave,9,1040.0,AllPub,335,1969,1969,2007,12
